dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,1,2,100,L1Loss(),"[4.082094031067851, 3.951932954788208]"
freesolv,1,2,100,L1Loss(),"[4.302325472936361, 4.1532179594039915]"
freesolv,1,2,100,L1Loss(),"[4.112236501281164, 3.9689851999282837]"
freesolv,1,2,100,L1Loss(),"[4.187051420301479, 4.042132377624512]"
freesolv,1,2,100,L1Loss(),"[4.061822705881722, 4.174924850463867]"
freesolv,1,2,100,L1Loss(),"[3.7957691443751225, 3.858964514732361]"
freesolv,1,2,100,L1Loss(),"[3.9178236480043225, 4.00719850063324]"
freesolv,1,2,100,L1Loss(),"[4.005066300634306, 4.098628354072571]"
freesolv,1,2,100,L1Loss(),"[4.1501343347435835, 4.292666959762573]"
freesolv,1,2,100,L1Loss(),"[4.270972296735709, 4.412703371047973]"
freesolv,1,2,100,L1Loss(),"[4.340534293913168, 4.524792242050171]"
freesolv,1,2,100,L1Loss(),"[4.281386396354269, 4.446374845504761]"
freesolv,1,2,100,L1Loss(),"[4.14120961730383, 4.26906259059906]"
freesolv,1,2,100,L1Loss(),"[3.894759486087811, 3.98901047706604]"
freesolv,1,2,100,L1Loss(),"[4.19573008378845, 4.381413698196411]"
freesolv,1,2,100,L1Loss(),"[4.131804511091178, 4.272850036621094]"
freesolv,1,2,100,L1Loss(),"[4.082094031067851, 3.951932954788208]"
freesolv,1,2,100,L1Loss(),"[4.302325472936361, 4.1532179594039915]"
freesolv,1,2,100,L1Loss(),"[4.112236501281164, 3.9689851999282837]"
freesolv,1,2,100,L1Loss(),"[4.187051420301479, 4.042132377624512]"
freesolv,1,2,100,L1Loss(),"[4.061822705881722, 4.174924850463867]"
freesolv,1,2,100,L1Loss(),"[3.7957691443751225, 3.858964514732361]"
freesolv,1,2,100,L1Loss(),"[3.9178236480043225, 4.00719850063324]"
freesolv,1,2,100,L1Loss(),"[4.005066300634306, 4.098628354072571]"
freesolv,1,2,100,L1Loss(),"[4.1501343347435835, 4.292666959762573]"
freesolv,1,2,100,L1Loss(),"[4.270972296735709, 4.412703371047973]"
freesolv,1,2,100,L1Loss(),"[4.340534293913168, 4.524792242050171]"
freesolv,1,2,100,L1Loss(),"[4.281386396354269, 4.446374845504761]"
freesolv,1,2,100,L1Loss(),"[4.14120961730383, 4.26906259059906]"
freesolv,1,2,100,L1Loss(),"[3.894759486087811, 3.98901047706604]"
freesolv,1,2,100,L1Loss(),"[4.19573008378845, 4.381413698196411]"
freesolv,1,2,100,L1Loss(),"[4.131804511091178, 4.272850036621094]"
freesolv,1,2,100,L1Loss(),"[4.345601096796018, 4.196247506141662]"
freesolv,1,2,100,L1Loss(),"[4.427587933674875, 4.285434556007385]"
freesolv,1,2,100,L1Loss(),"[4.056876059983591, 3.937057876586914]"
freesolv,1,2,100,L1Loss(),"[4.351301904756074, 4.202104187011718]"
freesolv,1,2,100,L1Loss(),"[3.9913928949720807, 4.072403454780579]"
freesolv,1,2,100,L1Loss(),"[3.92498805605132, 3.9977588176727297]"
freesolv,1,2,100,L1Loss(),"[4.196477023037997, 4.320931315422058]"
freesolv,1,2,100,L1Loss(),"[4.331082765585203, 4.486964130401612]"
freesolv,1,2,100,L1Loss(),"[4.126834403011118, 4.2566505670547485]"
freesolv,1,2,100,L1Loss(),"[4.105974873031569, 4.209379076957703]"
freesolv,1,2,100,L1Loss(),"[4.113657481991759, 4.23166856765747]"
freesolv,1,2,100,L1Loss(),"[4.188292428617567, 4.326400375366211]"
freesolv,1,2,100,L1Loss(),"[4.101017034165912, 4.229021430015564]"
freesolv,1,2,100,L1Loss(),"[4.037732761108016, 4.155999541282654]"
freesolv,1,2,100,L1Loss(),"[3.8543776987488365, 4.013291072845459]"
freesolv,1,2,100,L1Loss(),"[4.199157045179026, 4.350423002243042]"
freesolv,1,2,100,L1Loss(),"[4.345601096796018, 4.196247506141662]"
freesolv,1,2,100,L1Loss(),"[4.427587933674875, 4.285434556007385]"
freesolv,1,2,100,L1Loss(),"[4.056876059983591, 3.937057876586914]"
freesolv,1,2,100,L1Loss(),"[4.351301904756074, 4.202104187011718]"
freesolv,1,2,100,L1Loss(),"[3.9913928949720807, 4.072403454780579]"
freesolv,1,2,100,L1Loss(),"[3.92498805605132, 3.9977588176727297]"
freesolv,1,2,100,L1Loss(),"[4.196477023037997, 4.320931315422058]"
freesolv,1,2,100,L1Loss(),"[4.331082765585203, 4.486964130401612]"
freesolv,1,2,100,L1Loss(),"[4.126834403011118, 4.2566505670547485]"
freesolv,1,2,100,L1Loss(),"[4.105974873031569, 4.209379076957703]"
freesolv,1,2,100,L1Loss(),"[4.113657481991759, 4.23166856765747]"
freesolv,1,2,100,L1Loss(),"[4.188292428617567, 4.326400375366211]"
freesolv,1,2,100,L1Loss(),"[4.101017034165912, 4.229021430015564]"
freesolv,1,2,100,L1Loss(),"[4.037732761108016, 4.155999541282654]"
freesolv,1,2,100,L1Loss(),"[3.8543776987488365, 4.013291072845459]"
freesolv,1,2,100,L1Loss(),"[4.199157045179026, 4.350423002243042]"
freesolv,1,2,100,L1Loss(),"[4.345601096796018, 4.196247506141662]"
freesolv,1,2,100,L1Loss(),"[4.427587933674875, 4.285434556007385]"
freesolv,1,2,100,L1Loss(),"[4.056876059983591, 3.937057876586914]"
freesolv,1,2,100,L1Loss(),"[4.351301904756074, 4.202104187011718]"
freesolv,1,2,100,L1Loss(),"[3.9913928949720807, 4.072403454780579]"
freesolv,1,2,100,L1Loss(),"[3.92498805605132, 3.9977588176727297]"
